week,checkpoint,indexed_urls,indexable_urls,organic_clicks,organic_impressions,nonbrand_clicks,queries_top3,queries_top10,queries_top20,tier_a_avg_position,tier_b_top10_share,local_provinces_with_impressions,near_winners_pos4_10,near_winners_pos11_20,zero_impression_pages_21d,organic_leads,notes
0,baseline,,,,,,,,,,,,,,,,
1,day7,,,,,,,,,,,,,,,,
2,day14,,,,,,,,,,,,,,,,
3,day21,,,,,,,,,,,,,,,,
4,day28,,,,,,,,,,,,,,,,
5,day35,,,,,,,,,,,,,,,,
6,day42,,,,,,,,,,,,,,,,
7,day49,,,,,,,,,,,,,,,,
8,day56,,,,,,,,,,,,,,,,
9,day63,,,,,,,,,,,,,,,,
10,day70,,,,,,,,,,,,,,,,
11,day77,,,,,,,,,,,,,,,,
12,day84,,,,,,,,,,,,,,,,
13,day90,,,,,,,,,,,,,,,,
