keyword,primary_intent,cluster_id,target_url,status
gói cước fpt,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VERIFIED_INTENT
bảng giá fpt,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VERIFIED_INTENT
gói internet fpt,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VERIFIED_INTENT
gói cước fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VARIANT_MAPPED
gói cước fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VARIANT_MAPPED
gói cước fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VARIANT_MAPPED
gói cước fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,VARIANT_MAPPED
bảng giá fpt,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VERIFIED_INTENT
giá mạng fpt,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VERIFIED_INTENT
giá internet fpt,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VERIFIED_INTENT
bảng giá fpt giá,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VARIANT_MAPPED
bảng giá fpt đăng ký,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VARIANT_MAPPED
bảng giá fpt tư vấn,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VARIANT_MAPPED
bảng giá fpt mới nhất,COMMERCIAL,PACKAGES,/bang-gia-fpt/,VARIANT_MAPPED
combo fpt,COMMERCIAL,COMBO,/combo-fpt/,VERIFIED_INTENT
combo internet fpt,COMMERCIAL,COMBO,/combo-fpt/,VERIFIED_INTENT
internet truyền hình fpt,COMMERCIAL,COMBO,/combo-fpt/,VERIFIED_INTENT
combo fpt giá,COMMERCIAL,COMBO,/combo-fpt/,VARIANT_MAPPED
combo fpt đăng ký,COMMERCIAL,COMBO,/combo-fpt/,VARIANT_MAPPED
combo fpt tư vấn,COMMERCIAL,COMBO,/combo-fpt/,VARIANT_MAPPED
combo fpt mới nhất,COMMERCIAL,COMBO,/combo-fpt/,VARIANT_MAPPED
internet truyền hình fpt,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,VERIFIED_INTENT
combo internet truyền hình fpt,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,VERIFIED_INTENT
internet + truyền hình fpt giá,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,VARIANT_MAPPED
internet + truyền hình fpt đăng ký,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,VARIANT_MAPPED
internet + truyền hình fpt tư vấn,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,VARIANT_MAPPED
internet + truyền hình fpt mới nhất,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,VARIANT_MAPPED
f-game fpt,COMMERCIAL,GAMING,/f-game-fpt/,VERIFIED_INTENT
mạng fpt chơi game,COMMERCIAL,GAMING,/f-game-fpt/,VERIFIED_INTENT
internet game thủ fpt,COMMERCIAL,GAMING,/f-game-fpt/,VERIFIED_INTENT
f-game fpt giá,COMMERCIAL,GAMING,/f-game-fpt/,VARIANT_MAPPED
f-game fpt đăng ký,COMMERCIAL,GAMING,/f-game-fpt/,VARIANT_MAPPED
f-game fpt tư vấn,COMMERCIAL,GAMING,/f-game-fpt/,VARIANT_MAPPED
f-game fpt mới nhất,COMMERCIAL,GAMING,/f-game-fpt/,VARIANT_MAPPED
mesh wifi fpt,COMMERCIAL,WIFI,/mesh-wifi-fpt/,VERIFIED_INTENT
