cluster_id,primary_intent,pillar_url,page_count,status
CAMERA,COMMERCIAL,/camera-fpt/play-3/,2,PASS
COMBO,COMMERCIAL,/combo-fpt/,2,PASS
COMPARE,COMPARISON,/so-sanh/,7,PASS
GAMING,COMMERCIAL,/f-game-fpt/,1,PASS
KNOWLEDGE,INFORMATIONAL,/kien-thuc/,1,PASS
LOCAL,LOCAL_TRANSACTIONAL,/khu-vuc/,1,PASS
PACKAGES,COMMERCIAL,/goi-cuoc-fpt/,11,PASS
SUPPORT,SUPPORT,/ho-tro/,17,PASS
USE_APARTMENT,COMMERCIAL,/giai-phap/chung-cu/,1,PASS
USE_CAFE,COMMERCIAL,/giai-phap/quan-cafe/,1,PASS
USE_CAMERA,COMMERCIAL,/giai-phap/camera/,1,PASS
USE_CASE,COMMERCIAL,/giai-phap/,1,PASS
USE_FAMILY,COMMERCIAL,/giai-phap/gia-dinh/,1,PASS
USE_GAME,COMMERCIAL,/giai-phap/game-thu/,1,PASS
USE_HOMESTAY,COMMERCIAL,/giai-phap/homestay/,1,PASS
USE_MULTIFLOOR,COMMERCIAL,/giai-phap/nha-nhieu-tang/,1,PASS
USE_OFFICE,COMMERCIAL,/giai-phap/van-phong/,1,PASS
USE_RETAIL,COMMERCIAL,/giai-phap/cua-hang/,1,PASS
USE_SMARTHOME,COMMERCIAL,/giai-phap/smart-home/,1,PASS
USE_SME,COMMERCIAL,/giai-phap/doanh-nghiep-nho/,1,PASS
USE_STREAM,COMMERCIAL,/giai-phap/livestream/,1,PASS
WIFI,COMMERCIAL,/mesh-wifi-fpt/,2,PASS
WIFI7,COMMERCIAL,/speedx-fpt/,2,PASS
