keyword,normalized_query,primary_intent,cluster_id,target_url,priority_tier,search_volume,kd,cpc,source_ref,observed_at,status
gói cước fpt,gói cước fpt,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
bảng giá fpt,bảng giá fpt,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
gói internet fpt,gói internet fpt,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
gói cước fpt giá,gói cước fpt giá,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
gói cước fpt đăng ký,gói cước fpt đăng ký,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
gói cước fpt tư vấn,gói cước fpt tư vấn,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
gói cước fpt mới nhất,gói cước fpt mới nhất,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
bảng giá fpt,bảng giá fpt,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
giá mạng fpt,giá mạng fpt,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
giá internet fpt,giá internet fpt,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
bảng giá fpt giá,bảng giá fpt giá,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
bảng giá fpt đăng ký,bảng giá fpt đăng ký,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
bảng giá fpt tư vấn,bảng giá fpt tư vấn,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
bảng giá fpt mới nhất,bảng giá fpt mới nhất,COMMERCIAL,PACKAGES,/bang-gia-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
combo fpt,combo fpt,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
combo internet fpt,combo internet fpt,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
internet truyền hình fpt,internet truyền hình fpt,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VERIFIED_INTENT
combo fpt giá,combo fpt giá,COMMERCIAL,COMBO,/combo-fpt/,P0,UNKNOWN,UNKNOWN,UNKNOWN,https://fpt.vn/,2026-08-15,VARIANT_MAPPED
