question,intent,cluster_id,target_url,answer_strategy,observed_at
gói cước fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,ANSWER_ON_OWNER,2026-08-15
gói cước fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,ANSWER_ON_OWNER,2026-08-15
gói cước fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn gói cước fpt?,COMMERCIAL,PACKAGES,/goi-cuoc-fpt/,ANSWER_ON_OWNER,2026-08-15
bảng giá fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/bang-gia-fpt/,ANSWER_ON_OWNER,2026-08-15
bảng giá fpt có tốt không?,COMMERCIAL,PACKAGES,/bang-gia-fpt/,ANSWER_ON_OWNER,2026-08-15
bảng giá fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/bang-gia-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn bảng giá fpt?,COMMERCIAL,PACKAGES,/bang-gia-fpt/,ANSWER_ON_OWNER,2026-08-15
combo fpt phù hợp với ai?,COMMERCIAL,COMBO,/combo-fpt/,ANSWER_ON_OWNER,2026-08-15
combo fpt có tốt không?,COMMERCIAL,COMBO,/combo-fpt/,ANSWER_ON_OWNER,2026-08-15
combo fpt khác gì lựa chọn khác?,COMMERCIAL,COMBO,/combo-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn combo fpt?,COMMERCIAL,COMBO,/combo-fpt/,ANSWER_ON_OWNER,2026-08-15
internet + truyền hình fpt phù hợp với ai?,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,ANSWER_ON_OWNER,2026-08-15
internet + truyền hình fpt có tốt không?,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,ANSWER_ON_OWNER,2026-08-15
internet + truyền hình fpt khác gì lựa chọn khác?,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn internet + truyền hình fpt?,COMMERCIAL,COMBO,/internet-truyen-hinh-fpt/,ANSWER_ON_OWNER,2026-08-15
f-game fpt phù hợp với ai?,COMMERCIAL,GAMING,/f-game-fpt/,ANSWER_ON_OWNER,2026-08-15
f-game fpt có tốt không?,COMMERCIAL,GAMING,/f-game-fpt/,ANSWER_ON_OWNER,2026-08-15
f-game fpt khác gì lựa chọn khác?,COMMERCIAL,GAMING,/f-game-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn f-game fpt?,COMMERCIAL,GAMING,/f-game-fpt/,ANSWER_ON_OWNER,2026-08-15
mesh wifi fpt phù hợp với ai?,COMMERCIAL,WIFI,/mesh-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
mesh wifi fpt có tốt không?,COMMERCIAL,WIFI,/mesh-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
mesh wifi fpt khác gì lựa chọn khác?,COMMERCIAL,WIFI,/mesh-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mesh wifi fpt?,COMMERCIAL,WIFI,/mesh-wifi-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi 6 fpt là gì?,INFORMATIONAL,WIFI,/wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi 6 fpt hoạt động thế nào?,INFORMATIONAL,WIFI,/wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
wifi 6 fpt có ưu nhược điểm gì?,INFORMATIONAL,WIFI,/wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần wifi 6 fpt?,INFORMATIONAL,WIFI,/wifi-6-fpt/,ANSWER_ON_OWNER,2026-08-15
xgs-pon fpt là gì?,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,ANSWER_ON_OWNER,2026-08-15
xgs-pon fpt hoạt động thế nào?,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,ANSWER_ON_OWNER,2026-08-15
xgs-pon fpt có ưu nhược điểm gì?,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào cần xgs-pon fpt?,INFORMATIONAL,WIFI7,/xgs-pon-fpt/,ANSWER_ON_OWNER,2026-08-15
speedx fpt phù hợp với ai?,COMMERCIAL,WIFI7,/speedx-fpt/,ANSWER_ON_OWNER,2026-08-15
speedx fpt có tốt không?,COMMERCIAL,WIFI7,/speedx-fpt/,ANSWER_ON_OWNER,2026-08-15
speedx fpt khác gì lựa chọn khác?,COMMERCIAL,WIFI7,/speedx-fpt/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn speedx fpt?,COMMERCIAL,WIFI7,/speedx-fpt/,ANSWER_ON_OWNER,2026-08-15
gói f-game fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,ANSWER_ON_OWNER,2026-08-15
gói f-game fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,ANSWER_ON_OWNER,2026-08-15
gói f-game fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn gói f-game fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/f-game/,ANSWER_ON_OWNER,2026-08-15
combo giga fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,ANSWER_ON_OWNER,2026-08-15
combo giga fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,ANSWER_ON_OWNER,2026-08-15
combo giga fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn combo giga fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-giga/,ANSWER_ON_OWNER,2026-08-15
combo sky fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,ANSWER_ON_OWNER,2026-08-15
combo sky fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,ANSWER_ON_OWNER,2026-08-15
combo sky fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn combo sky fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-sky/,ANSWER_ON_OWNER,2026-08-15
combo meta fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,ANSWER_ON_OWNER,2026-08-15
combo meta fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,ANSWER_ON_OWNER,2026-08-15
combo meta fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn combo meta fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-meta/,ANSWER_ON_OWNER,2026-08-15
combo f-game fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,ANSWER_ON_OWNER,2026-08-15
combo f-game fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,ANSWER_ON_OWNER,2026-08-15
combo f-game fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn combo f-game fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/combo-f-game/,ANSWER_ON_OWNER,2026-08-15
speedx2 fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,ANSWER_ON_OWNER,2026-08-15
speedx2 fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,ANSWER_ON_OWNER,2026-08-15
speedx2 fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn speedx2 fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2/,ANSWER_ON_OWNER,2026-08-15
speedx2 pro fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,ANSWER_ON_OWNER,2026-08-15
speedx2 pro fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,ANSWER_ON_OWNER,2026-08-15
speedx2 pro fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn speedx2 pro fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx2-pro/,ANSWER_ON_OWNER,2026-08-15
speedx10 fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,ANSWER_ON_OWNER,2026-08-15
speedx10 fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,ANSWER_ON_OWNER,2026-08-15
speedx10 fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn speedx10 fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10/,ANSWER_ON_OWNER,2026-08-15
speedx10 pro fpt phù hợp với ai?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,ANSWER_ON_OWNER,2026-08-15
speedx10 pro fpt có tốt không?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,ANSWER_ON_OWNER,2026-08-15
speedx10 pro fpt khác gì lựa chọn khác?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn speedx10 pro fpt?,COMMERCIAL,PACKAGES,/goi-cuoc/speedx10-pro/,ANSWER_ON_OWNER,2026-08-15
camera play 3 fpt phù hợp với ai?,COMMERCIAL,CAMERA,/camera-fpt/play-3/,ANSWER_ON_OWNER,2026-08-15
camera play 3 fpt có tốt không?,COMMERCIAL,CAMERA,/camera-fpt/play-3/,ANSWER_ON_OWNER,2026-08-15
camera play 3 fpt khác gì lựa chọn khác?,COMMERCIAL,CAMERA,/camera-fpt/play-3/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn camera play 3 fpt?,COMMERCIAL,CAMERA,/camera-fpt/play-3/,ANSWER_ON_OWNER,2026-08-15
camera play 4 fpt phù hợp với ai?,COMMERCIAL,CAMERA,/camera-fpt/play-4/,ANSWER_ON_OWNER,2026-08-15
camera play 4 fpt có tốt không?,COMMERCIAL,CAMERA,/camera-fpt/play-4/,ANSWER_ON_OWNER,2026-08-15
camera play 4 fpt khác gì lựa chọn khác?,COMMERCIAL,CAMERA,/camera-fpt/play-4/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn camera play 4 fpt?,COMMERCIAL,CAMERA,/camera-fpt/play-4/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho gia đình phù hợp với ai?,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho gia đình có tốt không?,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,ANSWER_ON_OWNER,2026-08-15
mạng fpt cho gia đình khác gì lựa chọn khác?,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,ANSWER_ON_OWNER,2026-08-15
khi nào nên chọn mạng fpt cho gia đình?,COMMERCIAL,USE_FAMILY,/giai-phap/gia-dinh/,ANSWER_ON_OWNER,2026-08-15
wifi fpt cho nhà nhiều tầng phù hợp với ai?,COMMERCIAL,USE_MULTIFLOOR,/giai-phap/nha-nhieu-tang/,ANSWER_ON_OWNER,2026-08-15
